time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.718575778896623e-08,3.688147077150625e-07,10.005248363816703,0.00030777352540045655,9.015884787189066e-05,0.0,-8.183437945050197e-06,3.149523664981973e-05,0.17493408619281542,0.013801761984209487,0.004350458885096269,0.0,460.69444337263417,461.0382090912529,458.70883982759,459.8032810224009
0.12000000000000001,-4.073928853298856e-06,1.327533654925917e-05,10.021704314930613,0.0006877720516067498,0.0005509550085944781,0.0,-0.0001676250065007732,0.0004777830351964751,0.3735530466439096,-0.01601130612339552,0.01362262986302281,0.0,467.79511964869744,468.5163444701594,467.39829733372704,465.06937908946526
0.18,-2.8336641717107537e-05,5.2294223560007235e-05,10.046807607564949,6.282548779545007,0.0011991238645467917,0.0,-0.000715436038558457,0.0007122174472838595,0.4631907053468973,-0.03834854048723811,0.004464236749953126,0.0,434.3394269505138,433.570668607397,434.50698907719647,432.63049095697596
0.23999999999999996,-0.00010115906960950624,6.946693320943513e-05,10.080898702339525,6.280007968833949,0.0010975483019146637,0.0,-0.0017268164723164149,-0.0004242226060202239,0.6730783280212536,-0.05186285075681555,-0.01834277715985649,0.0,471.56950739123835,469.80476916070893,471.2994867546582,470.2530522775074
0.3,-0.00022300057060264903,-3.267369026634747e-05,10.124104988686435,6.277085878328389,6.28288317882291,0.0,-0.0022106912645898915,-0.003284646681506137,0.7670711835525046,-0.04303088662483986,-0.035851431468506896,0.0,436.03561452009734,434.5705572714877,435.2757970092538,436.0126451327448
0.36000000000000004,-0.0003394105882272325,-0.00038667521352423335,10.176332701442849,6.274531428784206,6.281099927004096,0.0,-0.0014406103091200524,-0.008816873235647154,0.9736969967269499,-0.04167625250823725,-0.019649217055528335,0.0,470.76590905802556,472.01749621843675,468.83960485949933,468.943938441747
0.4200000000000001,-0.00037301910724858684,-0.0011243209988724204,10.239998311529623,6.272186763631806,6.2798210163359816,0.0,0.0004586343965269062,-0.01604322895950995,1.1483277677163113,-0.03433154061006143,-0.02487427514028877,0.0,460.5365847794089,460.1231800062661,461.274282897248,461.85314662546165
0.48000000000000015,-0.00025641924526549083,-0.0023650400283979074,10.315680459487758,6.270143012980872,6.27816774650589,0.0,0.003616113909351116,-0.02555878058356499,1.374162987026852,-0.0335299169705346,-0.0335398394329344,0.0,476.58809990871595,475.92523847458057,476.6710877553824,476.7319459575786
0.5400000000000001,5.122475969283713e-05,-0.004123915346607167,10.397282328286307,6.268344929174754,6.276036586317268,0.0,0.0068106171388295144,-0.03322833208898701,1.3459298808142452,-0.02365773475846948,-0.03980439897593738,0.0,395.8082474546813,395.230606293593,396.2292159437846,397.1352595040651
0.6000000000000002,0.0006571335048816895,-0.006509374639750093,10.486354730318904,6.267322640723776,6.273543305190813,0.0,0.01369620531360415,-0.046434952124079894,1.622794283469699,-0.006308070823803423,-0.04530654285674292,0.0,492.7388379775669,492.331209356041,490.01787851379305,491.30586463774847
0.6600000000000003,0.0016938445250259595,-0.009633156904068156,10.587259013418052,6.267004507139854,6.270952164970177,0.0,0.02113652164382036,-0.05772477757171821,1.7405060272899096,-0.003362740356066091,-0.039250718743142426,0.0,444.57139408673135,445.0662300673618,445.2654368304915,445.5064001167893
0.7200000000000003,0.003216596764770149,-0.013422634125151224,10.69412226560205,6.266628911695722,6.2686226315677125,0.0,0.029852604106895445,-0.06861704540680048,1.8214727661416579,-0.012796061416377062,-0.037988719562844143,0.0,433.8126576807758,433.91782034536453,434.2421973213624,433.4503050547628
0.7800000000000004,0.005261848284110101,-0.0178228540142617,10.802707883682086,6.265895804839845,6.266387753849296,0.0,0.03851198985375005,-0.07812047571332927,1.7980805756960423,-0.011087570604563597,-0.035806489647382,0.0,398.6798805154906,398.8783810457692,399.7292143159574,399.8849709974594
0.8400000000000004,0.008001563148111282,-0.022943641169379747,10.91787819651353,6.265819758984534,6.264252184525155,0.0,0.05306853595661157,-0.09260505304798494,2.0405233443348014,0.013383504009375765,-0.035168967266694294,0.0,483.17937295428675,483.22698392829886,482.0330629161397,483.8786805228257
0.9000000000000005,0.011577814619895963,-0.028849513536713018,11.042941745433458,6.266530158131221,6.262189822401318,0.0,0.06634563360620588,-0.10417884325527788,2.128098950181538,0.008559029398835629,-0.03282624418511385,0.0,436.4722497701314,436.66719720428165,437.7959464254424,437.39424344946354
0.9600000000000005,0.016007780167019325,-0.03544880509029023,11.1739980961828,6.266824477667765,6.260276559247368,0.0,0.08151667236042932,-0.11575102130954903,2.2402283352875885,-0.0036433209181932847,-0.03007413849276116,0.0,445.6048917606494,445.829432744947,445.1557283381109,444.156071626508
1.0200000000000005,0.021394757969113217,-0.04274427669669539,11.312097218163085,6.2665247699200926,6.258682142597941,0.0,0.09822158222929486,-0.12745468681453795,2.3628243992788436,-0.007846074110234911,-0.020359889911616462,0.0,448.1087902349051,448.89757335037496,449.49949285001094,449.1588813706294
1.0800000000000005,0.02780696781513221,-0.05074366948069126,11.457210238901052,6.266019019284055,6.257909635798969,0.0,0.11561283043503813,-0.1392386421188057,2.474037298380587,-0.009621677543128303,-0.0010221843218846316,0.0,445.464475980698,447.0430074888519,445.6351986172813,445.49015857605735
1.1400000000000006,0.03533967530696137,-0.05950545626132536,11.611553857354304,6.265163482203935,6.257666451642637,0.0,0.13548271149147895,-0.15289440454206546,2.670308935817406,-0.02568276360999197,-0.010933909252537493,0.0,471.66974178423357,470.90374094213973,473.7898592627949,472.5535467708116
